Uid,Name,Description,SellPrice,StarPrice
201,마카롱,프랑스의 달콤한 아몬드 머랭 쿠키,2,50
202,머랭,설탕과 계란 흰자를 섞어 구운 가벼운 쿠키,4,150
203,마들렌,조개 모양의 프랑스 작은 케이크,8,250
204,휘낭시에,버터가 들어가 촉촉하고 부드러운 프랑스 미니 케이크,16,350
205,쿠키,밀가루와 설탕으로 만든 간단한 구운 과자,32,450
206,오믈렛,계란으로 만든 부드러운 반죽에 생크림을 넣은 디저트,64,550
207,약과,꿀과 기름으로 만든 한국의 전통 과자,128,650
208,에클레르,길쭉한 모양의 프랑스 크림이 들어간 페이스트리,256,750
209,버터바,버터 풍미가 강한 단단한 바 형태의 과자,512,850
210,달고나,설탕을 녹여 만든 한국 전통 과자,1024,950
211,팔미에,나비 모양으로 생긴 바삭한 프랑스 페이스트리,2048,1050
212,크룽지,크로와상을 누룽지처럼 눌러 바삭함을 살린 디저트,4096,1150
213,와플,격자 모양의 달콤한 반죽을 구워 만든 디저트,8192,1250
214,에그타르트,바삭한 페이스트리 위에 크림 같은 달걀 필링이 올라간 디저트,16384,1350
215,다쿠아즈,아몬드 머랭으로 만든 과자,32768,1450
216,푸딩,부드럽고 크리미한 질감의 디저트,65536,1550
217,몽블랑,밤 크림을 쌓아 만든 프랑스 디저트,131072,1650
218,밀푀유,얇은 페이스트리와 크림을 층층이 쌓은 디저트,262144,1750
219,롤케이크,얇은 케이크에 크림을 넣어 말아 만든 디저트,524288,1850
220,탕후루,과일을 설탕 시럽으로 코팅한 중국식 간식,1048576,1950
221,컵케이크,크림으로 장식한 작은 컵 모양의 케이크,2097152,2050
222,딸기케이크,딸기를 올린 크림 케이크,4194304,2150
223,티라미수,커피와 마스카포네 치즈로 만든 이탈리아 디저트,8388608,2250
224,초코케이크,초콜릿을 사용한 케이크,16777216,2350
225,바스크 치즈게이크,겉이 그을려진 것이 특징인 스페인식 치즈케이크,33554432,2450
226,크레이프,얇게 구운 팬케이크를 크림과 겹겹이 쌓아 만든 케이크,67108864,2550
227,크레페,아이스크림이나 과일 등을 크레이프로 말아 만든 디저트,134217728,2650
